%Afkomstig uit HR2006 = HR2001
%Door: Chris Geerse
%Datum: 21 april 2009
%
%PIEKAFVOER	TIJD	AFVOER
20000	8.9125	11000
20000	9.654166667	10500
20000	10.44166667	10000
20000	11.16666667	9500
20000	12.23333333	9000
20000	13.4875	8500
20000	15.1375	8000
20000	17.3875	7500
20000	18.61666667	7250
20000	19.77083333	7000
20000	20.875	6750
20000	22.15	6500
20000	23.74166667	6250
20000	25.19583333	6000
20000	25.86644523	5750
20000	26.56030228	5500
20000	27.25458859	5250
20000	27.91766801	5000
20000	28.55306671	4750
20000	29.18691055	4500
20000	29.83953021	4250
20000	30.50929246	4000
20000	31.18003728	3750
20000	31.85078532	3500
20000	32.53792009	3250
20000	33.25612871	3000
20000	34.0330852	2750
20000	34.87182093	2500
20000	35.75345176	2250
20000	36.6548441	2000
20000	37.54527605	1750
20000	38.40354519	1500
20000	39.23024657	1250
20000	39.95515214	1000
20000	40.40988574	750
20000	40.54637229	500
20000	40.57014346	250
20000	40.57614346	0
25000	-31.65354008	0
25000	-31.64954008	250
25000	-31.63369264	500
25000	-31.54270161	750
25000	-31.23954587	1000
25000	-30.75627549	1250
25000	-30.20514124	1500
25000	-29.63296181	1750
25000	-29.03934051	2000
25000	-28.43841229	2250
25000	-27.8506584	2500
25000	-27.29150125	2750
25000	-26.77353025	3000
25000	-26.29472451	3250
25000	-25.83663466	3500
25000	-25.3894693	3750
25000	-24.94230609	4000
25000	-24.49579792	4250
25000	-24.06071815	4500
25000	-23.63815559	4750
25000	-23.21455645	5000
25000	-22.77250351	5250
25000	-22.30964597	5500
25000	-21.8470746	5750
25000	-21.4	6000
25000	-20.8167	6250
25000	-20.2083	6562.5
25000	-20.0042	6647.099445
25000	-19.8708	6702.348068
25000	-19.4542	6875
25000	-19.2083	6996.299344
25000	-18.8208	7187.5
25000	-18.6125	7261.552132
25000	-18.3375	7359.300948
25000	-17.9417	7500
25000	-17.7	7618.464054
25000	-17.5917	7671.568627
25000	-17.3042	7812.5
25000	-16.8333	8040.322582
25000	-16.825	8044.354838
25000	-16.6583	8125
25000	-16.5417	8222.222217
25000	-16.475	8277.777775
25000	-16.4208	8322.916667
25000	-16.2833	8437.5
25000	-15.9542	8670.400942
25000	-15.8708	8729.363212
25000	-15.8417	8750
25000	-15.7958	8768.187833
25000	-15.5292	8874.007937
25000	-15.3917	8928.571429
25000	-15.325	8955.026456
25000	-15.2083	9001.322754
25000	-15.125	9034.391536
25000	-15.0542	9062.5
25000	-14.9583	9098.618093
25000	-14.4417	9293.341708
25000	-14.3917	9312.185929
25000	-14.3083	9343.592966
25000	-14.3	9346.733668
25000	-14.225	9375
25000	-13.6375	9665.841584
25000	-13.525	9721.534653
25000	-13.5083	9729.78548
25000	-13.3375	9814.356436
25000	-12.9625	10000
25000	-12.9542	10004.64684
25000	-12.8583	10058.0855
25000	-12.7125	10139.4052
25000	-12.4917	10262.54647
25000	-12.2708	10385.68774
25000	-12.1125	10473.9777
25000	-12.0125	10529.73978
25000	-11.8417	10625
25000	-11.8292	10633.11688
25000	-11.7208	10703.46321
25000	-11.6583	10744.04762
25000	-11.5125	10838.74459
25000	-11.0292	11152.5974
25000	-10.975	11187.77056
25000	-10.8792	11250
25000	-10.8542	11278.62595
25000	-10.8167	11321.56488
25000	-10.5167	11665.07633
25000	-10.4833	11703.24428
25000	-10.475	11712.78626
25000	-10.3333	11875
25000	-10.2375	11993.80165
25000	-10.225	12009.29752
25000	-10.1458	12107.43802
